#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
277.71250000000003,1.0000000000056422,1.000000000000639,1.0000000000000098,0.9999999999983886,0.9999999999990422,0.9999999999987389,0.9999999999998767,0.9999999999989267,0.9999999999995695
277.7375,1.0000000000057812,0.999999999993864,1.0000000000001037,0.9999999999984253,0.9999999999979307,0.9999999999987476,0.999999999999882,0.9999999999990242,1.0000000000027702
277.7625,1.0000000000055393,1.0000000000006573,0.9999999999999281,0.9999999999984437,0.9999999999990523,0.9999999999985235,0.9999999999996556,0.9999999999988509,0.9999999999995166
277.7875,0.9999999999981387,0.9999999999936257,1.0000000000000453,0.9999999999985364,0.9999999999997151,0.999999999998611,0.9999999999997408,0.9999999999989706,0.9999999999909024
277.8125,0.9999999999980468,1.0000000000005094,0.9999999999998392,0.9999999999985141,0.9999999999991489,0.9999999999984378,0.9999999999995717,0.9999999999987608,0.9999999999994849
277.83750000000003,0.9999999999928879,1.0000000000013922,1.0000000000000266,0.9999999999987005,0.9999999999982128,0.999999999998629,0.9999999999997703,0.9999999999989395,0.9999999999973275
277.8625,1.0000000000054772,1.0000000000005467,0.9999999999998859,0.9999999999986967,0.9999999999992346,0.9999999999984881,0.9999999999996152,0.9999999999988134,0.9999999999994871
277.8875,1.0000000000056524,0.9999999999987714,0.9999999999998569,0.9999999999987831,0.9999999999981158,0.9999999999986017,0.9999999999996223,0.9999999999988904,1.0000000000022473
277.9125,1.0000000000053788,1.0000000000005265,0.9999999999995313,0.9999999999987443,0.9999999999992649,0.9999999999984659,0.9999999999994192,0.9999999999986319,0.9999999999995091
277.9375,1.0000000000053855,0.9999999999936915,0.999999999999666,0.9999999999987427,0.9999999999981465,0.999999999998622,0.9999999999994768,0.9999999999988657,0.9999999999910469
277.96250000000003,1.000000000002938,1.0000000000001028,0.9999999999994844,0.99999999999862,0.9999999999993121,0.9999999999984301,0.999999999999231,0.9999999999987373,0.999999999999537
