# density: 0.021017479720736955, temp: 85,# density: 0.021017479720736955, temp: 85
r,Ar_uv-Ar,r,Ar-Ar
0.104375,-8.708711263238911e-07,0.104375,7.0673975933743804e-06
0.105625,-9.353196048778045e-07,0.105625,7.066847537373633e-06
0.106875,-9.99719183880643e-07,0.106875,7.0662936728638215e-06
0.108125,-1.0640585621501941e-06,0.108125,7.065735943001528e-06
0.109375,-1.128328062094397e-06,0.109375,7.065174276732478e-06
0.110625,-1.1925146630176187e-06,0.110625,7.064608681162099e-06
0.111875,-1.2566080940246138e-06,0.111875,7.0640390674725495e-06
0.113125,-1.3205975584185126e-06,0.113125,7.063465421452975e-06
0.114375,-1.3844719539690686e-06,0.114375,7.062887721787092e-06
0.115625,-1.4482214432121054e-06,0.115625,7.06230584057721e-06
0.116875,-1.5118382812318032e-06,0.116875,7.061719788481469e-06
0.11812500000000001,-1.5753077526881043e-06,0.11812500000000001,7.061129497998309e-06
0.11937500000000001,-1.6386219741093555e-06,0.11937500000000001,7.060534962022302e-06
0.120625,-1.7017718754175348e-06,0.120625,7.059936024234048e-06
0.121875,-1.764747725729876e-06,0.121875,7.059332716607969e-06
0.123125,-1.8275404727319255e-06,0.123125,7.058724950326223e-06
0.124375,-1.8901414904348712e-06,0.124375,7.058112693414387e-06
0.12562500000000001,-1.952540458205476e-06,0.12562500000000001,7.0574958925817555e-06
0.12687500000000002,-2.014729915345015e-06,0.12687500000000002,7.056874466115914e-06
0.128125,-2.0767013637623677e-06,0.128125,7.056248318093594e-06
0.129375,-2.1384467316920563e-06,0.129375,7.055617459172936e-06
0.130625,-2.1999585122500775e-06,0.130625,7.054981786325243e-06
0.131875,-2.2612264167776175e-06,0.131875,7.0543412498125235e-06
0.133125,-2.3222436986714e-06,0.133125,7.053695828318496e-06
0.134375,-2.383003362638192e-06,0.134375,7.053045379734613e-06
0.135625,-2.4434976353404636e-06,0.135625,7.0523898756391645e-06
0.136875,-2.5037196351718194e-06,0.136875,7.051729284057728e-06
